2,3,4,,,,,
1,3,5,9,12,,,
1,2,4,5,8,12,55,
1,3,55,58,,,,
2,3,6,7,8,10,12,55
5,7,8,10,11,12,13,16
5,6,8,13,16,59,60,67
3,5,6,7,55,56,59,60
2,10,12,17,20,,,
5,6,9,11,12,13,20,
6,10,13,14,20,21,24,
2,3,5,6,9,10,,
6,7,10,11,14,15,16,
11,13,15,16,23,24,25,
13,14,16,23,25,28,67,68
6,7,13,14,15,60,67,68
9,18,19,20,,,,
17,19,20,29,30,,,
17,18,20,21,29,30,35,
9,10,11,17,18,19,21,
11,19,20,22,24,30,35,
21,23,24,35,36,37,38,
14,15,22,24,25,26,38,
11,14,21,22,23,35,,
14,15,23,26,27,28,38,68
23,25,27,28,38,39,42,83
25,26,28,42,69,83,86,
15,25,26,27,68,69,86,
18,19,30,31,34,,,
18,19,21,29,31,34,35,36
29,30,32,33,34,,,
31,33,34,43,,,,
31,32,34,36,43,45,46,
29,30,31,32,33,35,36,
19,21,22,24,30,34,36,37
22,30,33,34,35,37,46,
22,35,36,38,39,46,,
22,23,25,26,37,39,42,
26,37,38,40,41,42,46,
39,41,42,45,46,47,50,
39,40,42,47,50,83,84,91
26,27,38,39,40,41,83,84
32,33,44,45,57,,,
43,45,47,48,51,54,,
33,40,43,44,46,47,,
33,36,37,39,40,45,47,
40,41,44,45,46,48,49,50
44,45,47,49,50,51,54,99
47,48,50,54,91,92,99,102
40,41,47,48,49,84,91,92
43,44,48,52,54,,,
51,53,54,,,,,
52,54,99,100,,,,
44,48,49,51,52,53,99,
3,4,5,8,56,58,59,
8,55,57,58,59,62,64,
56,58,63,64,,,,
4,55,56,57,,,,
7,8,55,56,60,61,62,64
7,8,16,59,61,62,67,
59,60,62,67,70,71,74,
56,59,60,61,64,65,71,74
57,64,65,66,,,,
56,57,59,62,63,65,74,
62,63,64,66,72,73,74,
63,65,73,82,,,,
7,15,16,60,61,68,70,
15,16,25,28,67,69,70,
27,28,68,70,75,76,86,
61,67,68,69,71,75,,
61,70,72,74,75,77,,
65,71,73,74,77,79,80,
65,66,72,74,79,80,82,
61,62,64,65,71,72,73,77
69,70,71,76,77,78,86,
69,75,77,78,85,86,87,
75,76,77,79,87,90,,
71,72,75,76,78,79,,
72,73,77,78,80,89,90,
72,73,79,81,82,89,90,
80,82,89,98,,,,
66,73,80,81,,,,
26,27,41,42,84,85,86,
41,42,50,83,85,91,94,
76,83,84,86,87,94,,
27,28,69,75,76,83,85,
76,77,85,88,90,94,,
77,87,89,90,93,94,95,96
79,80,81,88,90,95,98,
77,79,80,87,88,89,95,
41,49,50,84,92,93,94,
49,50,91,93,94,96,99,102
87,88,91,92,94,95,96,102
84,85,87,88,91,92,93,
88,89,90,93,96,97,98,
88,92,93,95,97,101,102,
95,96,98,101,,,,
81,89,95,97,,,,
53,54,48,49,92,100,102,
53,99,101,102,,,,
96,97,100,102,,,,
49,92,93,96,99,100,101,
